id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:feature_state,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:mz,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:mz_range:min,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:mz_range:max,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:rt,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:rt_range:min,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:rt_range:max,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:height,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:area,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:intensity_range:min,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:intensity_range:max,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:fwhm,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:tailing_factor,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:asymmetry_factor,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:fragment_scans
53,0.8044,0.7892,11.2425,523.21612,523.21259,523.21899,1.279E6,2.556E6,1.008E5,1.279E6,0,DETECTED,523.21612,523.21259,523.21899,0.8044,0.7892,11.2425,1.279E6,2.556E6,1.008E5,1.279E6,8.6653,344.9777,381.002,
54,0.8044,0.7892,11.2969,524.24942,524.24475,524.25299,5.703E5,1.135E6,1.009E5,5.703E5,0,DETECTED,524.24942,524.24475,524.25299,0.8044,0.7892,11.2969,5.703E5,1.135E6,1.009E5,5.703E5,9.5438,345.8732,468.9126,
55,0.8044,0.7456,9.1866,541.17319,541.16937,541.17438,1.52E6,1.158E5,1.048E5,1.52E6,0,DETECTED,541.17319,541.16937,541.17438,0.8044,0.7456,9.1866,1.52E6,1.158E5,1.048E5,1.52E6,0.2379,68.8461,118.0789,
56,0.8044,0.7892,10.8047,542.24467,542.24323,542.24939,5.163E5,2.535E5,1.021E5,5.163E5,0,DETECTED,542.24467,542.24323,542.24939,0.8044,0.7892,10.8047,5.163E5,2.535E5,1.021E5,5.163E5,0.2303,329.6701,264.5745,
57,0.8044,0.7892,1.3447,574.22367,574.22278,574.2265,1.949E6,1.562E5,1.14E5,1.949E6,2,DETECTED,574.22367,574.22278,574.2265,0.8044,0.7892,1.3447,1.949E6,1.562E5,1.14E5,1.949E6,0.2836,17.6603,1.5618,2
58,0.8044,0.7892,6.5775,589.24261,589.23578,589.24585,5.109E5,1.013E5,1.009E5,5.109E5,0,DETECTED,589.24261,589.23578,589.24585,0.8044,0.7892,6.5775,5.109E5,1.013E5,1.009E5,5.109E5,0.0284,190.5277,72.2971,
59,0.8175,0.7892,3.7588,289.08971,289.08929,289.0903,5.482E5,1.561E5,1E5,5.482E5,2,DETECTED,289.08971,289.08929,289.0903,0.8175,0.7892,3.7588,5.482E5,1.561E5,1E5,5.482E5,0.0833,52.4375,10.353,2
60,0.8175,0.7678,4.8121,333.11633,333.11557,333.11829,9.941E5,4.288E5,1.01E5,9.941E5,5,DETECTED,333.11633,333.11557,333.11829,0.8175,0.7678,4.8121,9.941E5,4.288E5,1.01E5,9.941E5,0.5119,40.7225,101.1178,5
61,0.8175,0.7678,1.0557,363.09051,363.08972,363.0921,6.58E5,4.859E4,1.05E5,6.58E5,0,DETECTED,363.09051,363.08972,363.0921,0.8175,0.7678,1.0557,6.58E5,4.859E4,1.05E5,6.58E5,0.2057,2.8983,4.6495,
62,0.8175,0.7892,10.4822,377.14263,377.13837,377.14551,9.386E5,3.021E5,1.06E5,9.386E5,2,DETECTED,377.14263,377.13837,377.14551,0.8175,0.7892,10.4822,9.386E5,3.021E5,1.06E5,9.386E5,0.4305,171.1603,340.4942,2
63,0.8175,0.7678,9.6938,390.1391,390.13681,390.14062,1.079E6,4.613E5,1.005E5,1.079E6,0,DETECTED,390.1391,390.13681,390.14062,0.8175,0.7678,9.6938,1.079E6,4.613E5,1.005E5,1.079E6,0.3041,5.9229,104.4177,
64,0.8175,0.7892,8.6888,391.12217,391.11761,391.1232,6.751E5,2.633E5,1.022E5,6.751E5,0,DETECTED,391.12217,391.11761,391.1232,0.8175,0.7892,8.6888,6.751E5,2.633E5,1.022E5,6.751E5,0.2701,139.492,238.5808,
65,0.8175,0.7892,2.3065,588.23955,588.23895,588.24017,1.639E6,4.121E5,1.059E5,1.639E6,6,DETECTED,588.23955,588.23895,588.24017,0.8175,0.7892,2.3065,1.639E6,4.121E5,1.059E5,1.639E6,1.3915,15.2972,1.7617,6
66,1.0197,0.7678,1.479,204.08684,204.08658,204.08717,1.38E6,1.236E5,1.004E5,1.38E6,0,DETECTED,204.08684,204.08658,204.08717,1.0197,0.7678,1.479,1.38E6,1.236E5,1.004E5,1.38E6,0.226,1.5502,1.123,
67,1.0197,0.7892,1.8678,231.08409,231.08383,231.0844,1.587E6,3.722E5,1.039E5,1.587E6,6,DETECTED,231.08409,231.08383,231.0844,1.0197,0.7892,1.8678,1.587E6,3.722E5,1.039E5,1.587E6,0.227,1.3151,11.2664,6
68,1.0197,0.7678,5.1404,258.09518,258.095,258.09723,3.923E6,3.555E5,1.023E5,3.923E6,0,DETECTED,258.09518,258.095,258.09723,1.0197,0.7678,5.1404,3.923E6,3.555E5,1.023E5,3.923E6,0.269,1.0503,0.4344,
69,1.0197,0.7456,4.2086,259.12912,259.1282,259.12933,8.775E7,6.108E6,1.047E5,8.775E7,7,DETECTED,259.12912,259.1282,259.12933,1.0197,0.7456,4.2086,8.775E7,6.108E6,1.047E5,8.775E7,0.2105,0.73,0.2497,7
70,1.0197,0.7892,1.2547,260.13246,260.12997,260.1333,1.063E7,6.805E5,1.143E5,1.063E7,0,DETECTED,260.13246,260.12997,260.1333,1.0197,0.7892,1.2547,1.063E7,6.805E5,1.143E5,1.063E7,0.2112,0.724,0.2482,
71,1.0197,0.7678,7.8143,262.12856,262.1268,262.12891,1.008E6,2.061E5,1.007E5,1.008E6,0,DETECTED,262.12856,262.1268,262.12891,1.0197,0.7678,7.8143,1.008E6,2.061E5,1.007E5,1.008E6,0.3681,10.2097,32.5513,
72,1.0197,0.7678,10.5962,280.13888,280.13699,280.14163,1.961E6,3.33E5,1.002E5,1.961E6,1,DETECTED,280.13888,280.13699,280.14163,1.0197,0.7678,10.5962,1.961E6,3.33E5,1.002E5,1.961E6,0.2177,27.8647,26.0796,1
73,1.0197,0.7892,5.6162,285.14465,285.14334,285.14523,1.107E7,8.592E5,1.005E5,1.107E7,3,DETECTED,285.14465,285.14334,285.14523,1.0197,0.7892,5.6162,1.107E7,8.592E5,1.005E5,1.107E7,0.2192,0.6768,0.1954,3
74,1.0197,0.7678,1.479,289.13945,289.13901,289.13974,1.127E6,1.557E5,1.082E5,1.127E6,0,DETECTED,289.13945,289.13901,289.13974,1.0197,0.7678,1.479,1.127E6,1.557E5,1.082E5,1.127E6,0.3422,1.101,2.759,
75,1.0197,0.7678,7.197,292.13851,292.13675,292.1405,1.681E6,4.897E5,1.001E5,1.681E6,0,DETECTED,292.13851,292.13675,292.1405,1.0197,0.7678,7.197,1.681E6,4.897E5,1.001E5,1.681E6,0.223,19.3109,28.8718,
