id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:feature_state,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:mz,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:mz_range:min,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:mz_range:max,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:rt,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:rt_range:min,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:rt_range:max,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:height,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:area,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:intensity_range:min,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:intensity_range:max,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:fwhm,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:tailing_factor,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:asymmetry_factor,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:fragment_scans
52,0.7996,0.7555,10.5641,340.16068,340.15747,340.16409,2.184E6,4.226E5,1.005E5,2.184E6,0,DETECTED,340.16068,340.15747,340.16409,0.7996,0.7555,10.5641,2.184E6,4.226E5,1.005E5,2.184E6,5.4564,3.1229,18.4181,
53,0.7996,0.7555,1.6317,347.09632,347.09506,347.09741,8.502E5,1.466E5,1.05E5,8.502E5,0,DETECTED,347.09632,347.09506,347.09741,0.7996,0.7555,1.6317,8.502E5,1.466E5,1.05E5,8.502E5,0.0311,9.9405,12.4503,
54,0.7996,0.7769,11.8111,347.14582,347.14465,347.14883,5.652E7,3.245E6,1.005E5,5.652E7,13,DETECTED,347.14582,347.14465,347.14883,0.7996,0.7769,11.8111,5.652E7,3.245E6,1.005E5,5.652E7,0.0379,1.7956,1.4442,13
55,0.7996,0.7769,10.5641,348.14921,348.1463,348.1524,8.343E6,4.398E5,1.026E5,8.343E6,0,DETECTED,348.14921,348.1463,348.1524,0.7996,0.7769,10.5641,8.343E6,4.398E5,1.026E5,8.343E6,0.038,1.7897,3.2422,
56,0.7996,0.7555,10.6244,348.17826,348.17612,348.17972,1.981E6,2.787E5,1.026E5,1.981E6,1,DETECTED,348.17826,348.17612,348.17972,0.7996,0.7555,10.6244,1.981E6,2.787E5,1.026E5,1.981E6,0.2887,3.8728,5.723,1
57,0.7996,0.7555,8.6254,349.11099,349.10748,349.11273,4.801E6,2.932E5,1.021E5,4.801E6,0,DETECTED,349.11099,349.10748,349.11273,0.7996,0.7555,8.6254,4.801E6,2.932E5,1.021E5,4.801E6,0.0317,3.7844,4.8506,
58,0.7996,0.7769,1.4257,349.16102,349.16055,349.16135,6.1E5,7.824E4,1.14E5,6.1E5,0,DETECTED,349.16102,349.16055,349.16135,0.7996,0.7769,1.4257,6.1E5,7.824E4,1.14E5,6.1E5,0.359,14.2961,26.1628,
59,0.7996,0.7769,7.3364,350.14434,350.14212,350.14688,5.713E5,3.263E5,1.001E5,5.713E5,0,DETECTED,350.14434,350.14212,350.14688,0.7996,0.7769,7.3364,5.713E5,3.263E5,1.001E5,5.713E5,0.3427,144.5273,277.0503,
60,0.7996,0.7769,6.4671,352.19701,352.1954,352.19788,1.933E6,8.742E5,1.001E5,1.933E6,13,DETECTED,352.19701,352.1954,352.19788,0.7996,0.7769,6.4671,1.933E6,8.742E5,1.001E5,1.933E6,1.392,37.5747,62.9624,13
61,0.7996,0.7555,8.8078,363.12689,363.12335,363.12921,2.689E6,4.435E5,1.037E5,2.689E6,0,DETECTED,363.12689,363.12335,363.12921,0.7996,0.7555,8.8078,2.689E6,4.435E5,1.037E5,2.689E6,0.3054,16.534,27.7712,
62,0.7996,0.7769,6.9136,366.21281,366.21115,366.21481,7.1E5,5.861E5,1.001E5,7.1E5,6,DETECTED,366.21281,366.21115,366.21481,0.7996,0.7769,6.9136,7.1E5,5.861E5,1.001E5,7.1E5,0.6275,135.2132,268.4148,6
63,0.7996,0.7769,7.0626,377.10657,377.1058,377.10861,1.398E6,1.702E5,1.001E5,1.398E6,1,DETECTED,377.10657,377.1058,377.10861,0.7996,0.7769,7.0626,1.398E6,1.702E5,1.001E5,1.398E6,0.3104,138.0669,18.7196,1
64,0.7996,0.7322,9.2529,379.12163,379.11786,379.12381,6.887E6,4.021E5,1E5,6.887E6,2,DETECTED,379.12163,379.11786,379.12381,0.7996,0.7322,9.2529,6.887E6,4.021E5,1E5,6.887E6,0.0329,1.9826,7.5823,2
65,0.7996,0.7769,8.7622,390.13927,390.13696,390.14081,1.211E6,4.366E5,1.006E5,1.211E6,0,DETECTED,390.13927,390.13696,390.14081,0.7996,0.7769,8.7622,1.211E6,4.366E5,1.006E5,1.211E6,0.0434,107.8092,6.1622,
66,0.7996,0.7769,8.3329,393.13782,393.13657,393.14041,2.055E6,1.395E5,1.017E5,2.055E6,1,DETECTED,393.13782,393.13657,393.14041,0.7996,0.7769,8.3329,2.055E6,1.395E5,1.017E5,2.055E6,0.0402,8.4679,11.8798,1
67,0.7996,0.7769,2.3893,402.23895,402.2384,402.23929,5.115E5,1.329E5,1.018E5,5.115E5,3,DETECTED,402.23895,402.2384,402.23929,0.7996,0.7769,2.3893,5.115E5,1.329E5,1.018E5,5.115E5,1.5194,35.5261,73.1254,3
68,0.7996,0.7769,11.5376,493.20576,493.20239,493.20767,1.398E6,3.685E6,1.001E5,1.398E6,12,DETECTED,493.20576,493.20239,493.20767,0.7996,0.7769,11.5376,1.398E6,3.685E6,1.001E5,1.398E6,9.1215,103.0923,230.8517,12
69,0.7996,0.7769,11.6948,497.23752,497.23291,497.23975,6.073E5,7.912E5,1.001E5,6.073E5,0,DETECTED,497.23752,497.23291,497.23975,0.7996,0.7769,11.6948,6.073E5,7.912E5,1.001E5,6.073E5,7.7692,240.5567,291.3016,
70,0.7996,0.7769,11.3052,523.21628,523.21259,523.21942,1.155E6,2.418E6,1.035E5,1.155E6,0,DETECTED,523.21628,523.21259,523.21942,0.7996,0.7769,11.3052,1.155E6,2.418E6,1.035E5,1.155E6,8.7842,226.9248,12.0459,
71,0.7996,0.7769,9.4715,574.22401,574.22321,574.22833,1.487E6,1.32E5,1.413E5,1.487E6,2,DETECTED,574.22401,574.22321,574.22833,0.7996,0.7769,9.4715,1.487E6,1.32E5,1.413E5,1.487E6,0.3088,9.5415,381.5258,2
72,0.7996,0.7769,9.6117,588.23999,588.2392,588.24451,8.975E5,2.57E5,1.006E5,8.975E5,4,DETECTED,588.23999,588.2392,588.24451,0.7996,0.7769,9.6117,8.975E5,2.57E5,1.006E5,8.975E5,1.2112,194.6595,43.3035,4
73,1.0345,0.7769,7.582,272.11194,272.1105,272.11362,6.315E5,3.122E5,1E5,6.315E5,2,DETECTED,272.11194,272.1105,272.11362,1.0345,0.7769,7.582,6.315E5,3.122E5,1E5,6.315E5,0.3716,13.2079,19.3937,2
74,1.0521,0.7769,7.8297,377.1431,377.13925,377.14609,7.168E5,3.179E5,1.134E5,7.168E5,2,DETECTED,377.1431,377.13925,377.14609,1.0521,0.7769,7.8297,7.168E5,3.179E5,1.134E5,7.168E5,0.3323,12.8139,18.2213,2
75,1.073,0.7769,1.8836,231.08423,231.08391,231.08453,1.929E6,3.61E5,1.011E5,1.929E6,4,DETECTED,231.08423,231.08391,231.08453,1.073,0.7769,1.8836,1.929E6,3.61E5,1.011E5,1.929E6,0.2548,1.3943,5.5115,4
76,1.073,0.7555,4.2939,245.0999,245.0985,245.10072,8.612E5,2.553E5,1.044E5,8.612E5,1,DETECTED,245.0999,245.0985,245.10072,1.073,0.7555,4.2939,8.612E5,2.553E5,1.044E5,8.612E5,3.4432,5.5729,4.642,1
